Star_Name,Star_Distance,Star_Mass,Star_Radiuses,Star_Gravity
Arcturus,0037,2.1879e+30,18088200000.0,0.4462959727892475
Vega,0025,4.3758e+30,1878390000.0000002,82.76984296448046
Capella,0043,5.1714e+30,8348400000.0,4.952082081908975
Procyon,0011.4,2.9835e+30,1321830000.0,113.9622554541166
Aldebaran,0065,2.9835e+30,30610800000.0,0.21250193294905007
Pollux,0034,3.7790999999999997e+30,6122160000.000001,6.729227876719917
Regulus,0077,7.558199999999999e+30,2156670000.0,108.45190567600218
Castor,0052,5.5692e+30,1669680000.0,133.32528682062622
Gacrux,0088,2.9835e+30,58438800000.0,0.058305519017766566
Alioth,0081,5.7681e+30,2921940000.0,45.08960137373948
Menkalinan,081,4.75371e+30,1927089000.0,85.43097080483021
Alsephina[2],0080,4.7735999999999997e+30,2017530000.0,78.26943965552644
Ran,010.48,1.6309799999999997e+30,514818000.0,410.7025427261698
61 Cygni,011.41,1.3923e+30,462640500.0,434.1419255394918
Lacaille 8760,012.87,1.1933999999999999e+30,354807000.0,632.685493563031
Barnard's Star,05.98,2.7846e+29,139140000.0,959.9420651085088
Proxima Centauri,04.25,2.3868e+29,104355000.0,1462.7688611177275
Gliese 1214,047.5,3.1824e+29,146097000.0,995.0808579032163
VB 10,018.72,1.4917499999999999e+29,69570000.0,2057.0187109468043
TRAPPIST-1,39.6,1.7702099999999997e+29,83484000.0,1695.1357895765332
2MASS J0523-1403,40.3,1.3923e+29,59830199.99999999,2595.841171196618
